ID,manufacturer,Model,effect_type,instrument,format,footswitches,expression_pedal,amp_modeling,usb_audio,target_level,target_genre,notes,category,Price
1,BOSS,GT-1 gitár multieffekt processzor,Multi-effect,Guitar,Floor,3,true,true,true,Beginner / Intermediate,"Rock, Metal, Pop",Kompakt Boss multieffekt beépített expression pedállal,accessory,108300
2,Line 6,HX Stomp gitár padló multieffekt,Multi-effect,Guitar,Pedal,3,false,true,true,Professional,"Metal, Rock, Studio","HX modellezés, stúdió- és színpadkompatibilis multieffekt",accessory,242600
3,BOSS,GT-1000 gitár padló multieffekt,Multi-effect,Guitar,Floor,10,true,true,true,Professional,"Metal, Rock, Fusion",Csúcskategóriás Boss multieffekt AIRD technológiával,accessory,377500
4,HeadRush," MX5 gitár padló multieffekt",Multi-effect,Guitar,Pedal,3,false,true,true,Advanced,"Modern Metal, Rock",Érintőkijelzős multieffekt kompakt kivitelben,accessory,204800
5,VOX," StompLab 1B basszusgitár padló multieffekt",Multi-effect,Bass,Floor,2,false,true,false,Beginner,"Rock, Pop",Basszusgitárra optimalizált multieffekt,accessory,37300
6,Zoom," MS-50G+ MultiStomp gitár effektpedál",Multi-effect,Guitar,Pedal,1,false,true,true,Intermediate,"Rock, Experimental",Kompakt multistomp sok effektlánc lehetőséggel,accessory,46200
7,Line 6," Helix Floor gitár padló multieffekt",Multi-effect,Guitar,Floor,12,true,true,true,Professional,"Metal, Rock, Studio",Full Helix rendszer profi turné- és stúdióhasználatra,accessory,971500
8,BOSS," SY-1 Synthesizer gitár/basszusgitár szintetizátor effektpedál",Synth,Guitar / Bass,Pedal,1,false,false,false,Intermediate,"Electronic, Experimental",Polifonikus gitár/basszus szintetizátor pedál,accessory,98500
9,JAM pedals," Pink Flow gitár padló multieffekt",Multi-effect,Guitar,Floor,4,false,false,false,Advanced,"Rock, Ambient","Boutique jellegű multieffekt, analóg karakterrel",accessory,131100
10,BOSS," SL-2 Slicer effektpedál",Modulation,Guitar / Bass,Pedal,1,false,false,false,Advanced,"Electronic, Experimental",Ritmikus slicer effekt kreatív játékhoz,accessory,64600
11,BOSS," GM-800 gitárszintetizátor",Synth,Guitar,Floor,3,false,false,true,Professional,"Electronic, Studio",Gitárszintetizátor GM hanggenerátorral,accessory,279000