id,manufacturer,model,speaker_type,impedance_ohm,sensitivity_db,frequency_response,power_rms_w,power_max_w,drivers,dimensions_mm,weight_kg,mounting,color,recommended_room_size,notes,category,created_at
1,Focal,Chorus V 806V,Rear Speaker,8,91,55Hz – 28kHz,100,150,"2-way, 6.5"" Polyglass woofer + TNV tweeter",225 x 390 x 303,8.5,Stand / Shelf,Black,Medium,Matched to Chorus V series,homeT,2026-01-24 09:25:46.383897+00
2,Focal,Chorus 706,Rear Speaker,8,90,65Hz – 28kHz,100,150,"2-way, 6.5"" woofer",220 x 390 x 300,8.0,Stand,Walnut,Medium,Compact rear speaker,homeT,2026-01-24 09:25:46.383897+00
3,Focal,Aria 906,Rear Speaker,8,89,55Hz – 28kHz,120,180,"2-way, Flax cone",225 x 390 x 280,8.5,Stand,Black High Gloss,Medium,High-end rear imaging,homeT,2026-01-24 09:25:46.383897+00
4,DALI,Oberon 1,Rear Speaker,6,86,51Hz – 26kHz,100,150,"2-way, wood fiber woofer",200 x 274 x 234,4.2,Wall / Stand,White,Small,Excellent wall mounting,homeT,2026-01-24 09:25:46.383897+00
5,DALI,Oberon 3,Rear Speaker,6,87,47Hz – 26kHz,150,180,"2-way, 7"" woofer",200 x 350 x 315,6.3,Stand,Dark Walnut,Medium,Strong rear bass presence,homeT,2026-01-24 09:25:46.383897+00
6,Bowers & Wilkins,606 S2,Rear Speaker,8,88,52Hz – 28kHz,120,180,"2-way, Continuum cone",190 x 345 x 300,6.9,Stand,Black,Medium,Clear rear soundstage,homeT,2026-01-24 09:25:46.383897+00
7,Bowers & Wilkins,607 S2,Rear Speaker,8,84,52Hz – 28kHz,100,150,"2-way, Continuum cone",165 x 300 x 207,4.7,Shelf,White,Small,Compact rear channels,homeT,2026-01-24 09:25:46.383897+00
8,Klipsch,RP-600M,Rear Speaker,8,96,45Hz – 25kHz,100,400,"2-way, horn tweeter",202 x 399 x 301,7.3,Stand,Ebony,Large,Very dynamic rear effects,homeT,2026-01-24 09:25:46.383897+00
9,Klipsch,RP-500M,Rear Speaker,8,93,48Hz – 25kHz,75,300,"2-way, horn tweeter",178 x 338 x 273,5.9,Stand,Walnut,Medium,Cinema-style rear speaker,homeT,2026-01-24 09:25:46.383897+00
10,Monitor Audio,Bronze 50,Rear Speaker,8,87,62Hz – 30kHz,80,120,"2-way, C-CAM driver",166 x 281 x 265,3.1,Wall / Shelf,Black,Small,Compact rear speaker,homeT,2026-01-24 09:25:46.383897+00
11,Monitor Audio,Bronze 100,Rear Speaker,8,88,37Hz – 30kHz,100,150,"2-way, 8"" woofer",231 x 376 x 325,7.8,Stand,Walnut,Medium,Deep rear bass,homeT,2026-01-24 09:25:46.383897+00
12,KEF,Q150,Rear Speaker,8,86,51Hz – 28kHz,100,150,Uni-Q coaxial,180 x 303 x 278,5.6,Stand / Shelf,White,Medium,Excellent spatial imaging,homeT,2026-01-24 09:25:46.383897+00
13,KEF,Q350,Rear Speaker,8,87,42Hz – 28kHz,120,180,Uni-Q coaxial,210 x 358 x 306,7.6,Stand,Black,Medium,Wide rear soundstage,homeT,2026-01-24 09:25:46.383897+00
14,Elac,Debut 2.0 B6.2,Rear Speaker,6,87,44Hz – 35kHz,120,150,Aramid fiber woofer,195 x 375 x 268,7.7,Stand,Black,Medium,Strong bass for rear,homeT,2026-01-24 09:25:46.383897+00
15,Elac,Debut 2.0 B5.2,Rear Speaker,6,86,46Hz – 35kHz,120,150,Aramid fiber woofer,180 x 341 x 234,6.0,Stand,Black,Small,Balanced rear channel,homeT,2026-01-24 09:25:46.383897+00
16,Wharfedale,Diamond 12.1,Rear Speaker,8,88,65Hz – 20kHz,100,120,2-way Kevlar woofer,180 x 312 x 278,6.0,Stand,Oak,Small,Warm rear tone,homeT,2026-01-24 09:25:46.383897+00
17,Wharfedale,Diamond 12.2,Rear Speaker,8,88,52Hz – 20kHz,120,150,2-way Kevlar woofer,200 x 335 x 300,7.5,Stand,Black,Medium,Full rear presence,homeT,2026-01-24 09:25:46.383897+00
18,Polk Audio,Signature S15,Rear Speaker,8,88,50Hz – 40kHz,100,150,2-way Terylene tweeter,191 x 320 x 298,5.0,Stand,Brown,Medium,Crisp rear effects,homeT,2026-01-24 09:25:46.383897+00
19,Polk Audio,Signature S10,Rear Speaker,8,86,67Hz – 40kHz,100,150,2-way compact,166 x 260 x 284,4.0,Wall / Shelf,Black,Small,Compact rear speaker,homeT,2026-01-24 09:25:46.383897+00
20,SVS,Prime Bookshelf,Rear Speaker,8,87,48Hz – 25kHz,150,300,Aluminum dome tweeter,216 x 343 x 305,6.9,Stand,Black Ash,Medium,Powerful rear bass,homeT,2026-01-24 09:25:46.383897+00
21,SVS,Ultra Bookshelf,Rear Speaker,8,87,45Hz – 32kHz,150,300,Composite glass woofer,216 x 375 x 347,10.1,Stand,Piano Black,Large,High-end rear channels,homeT,2026-01-24 09:25:46.383897+00
22,Q Acoustics,3020i,Rear Speaker,6,88,64Hz – 30kHz,75,125,"2-way, wide dispersion",170 x 278 x 282,5.5,Stand,Grey,Small,Great value rear speaker,homeT,2026-01-24 09:25:46.383897+00
23,Q Acoustics,3030i,Rear Speaker,6,88,46Hz – 30kHz,100,150,"2-way, 6.5"" woofer",200 x 325 x 329,6.4,Stand,White,Medium,Full-bodied rear sound,homeT,2026-01-24 09:25:46.383897+00
24,Sony,SS-CS5,Rear Speaker,6,87,53Hz – 50kHz,100,150,3-way bookshelf,178 x 335 x 220,4.5,Shelf,Black,Small,Affordable rear speaker,homeT,2026-01-24 09:25:46.383897+00
25,JBL,Stage A130,Rear Speaker,6,86,55Hz – 40kHz,75,150,2-way horn tweeter,190 x 321 x 245,5.5,Stand,Black,Medium,Dynamic rear effects,homeT,2026-01-24 09:25:46.383897+00
26,JBL,Stage A120,Rear Speaker,6,86,60Hz – 40kHz,75,150,2-way horn tweeter,170 x 285 x 245,4.0,Shelf,Black,Small,Compact rear channel,homeT,2026-01-24 09:25:46.383897+00
27,Triangle,Borea BR02,Rear Speaker,8,90,51Hz – 22kHz,90,150,Horn-loaded tweeter,176 x 310 x 274,5.2,Stand,Light Oak,Medium,Lively rear sound,homeT,2026-01-24 09:25:46.383897+00
28,Triangle,Borea BR03,Rear Speaker,8,90,46Hz – 22kHz,100,150,Horn-loaded tweeter,206 x 380 x 314,7.0,Stand,Black,Medium,Strong rear dynamics,homeT,2026-01-24 09:25:46.383897+00