id,manufacturer,model,amplifier_type,channels,load_impedance_ohm,power_rms_w,power_peak_w,amp_class,frequency_response,low_pass_filter,high_pass_filter,crossover_hz,dsp,limiter,inputs,outputs,rack_mountable,cooling,height_mm,width_mm,depth_mm,weight_kg,recommended_use,notes,category,created_at,Price
1,Crown,XLS 1002,Subwoofer Amplifier,2,4–8 ohm,350,700,Class D,10Hz–20kHz,true,false,30–250 Hz,false,true,RCA / XLR,Binding Post / Speakon,true,Fan,89,482,315,8.6,Home cinema sub amp,Reliable bass amp,homeT,2026-01-24 09:36:18.286211+00,154000
2,Crown,XLS 1502,Subwoofer Amplifier,2,2–8 ohm,525,1050,Class D,10Hz–20kHz,true,false,30–250 Hz,false,true,RCA / XLR,Binding Post / Speakon,true,Fan,89,482,315,8.6,Multi-sub setups,Higher power version,homeT,2026-01-24 09:36:18.286211+00,202700
3,Crown,XLS 2502,Subwoofer Amplifier,2,2–8 ohm,775,1550,Class D,10Hz–20kHz,true,false,30–250 Hz,false,true,RCA / XLR,Binding Post / Speakon,true,Fan,89,482,315,10.8,Large home theaters,Extreme bass power,homeT,2026-01-24 09:36:18.286211+00,275000
4,Behringer,NX3000D,Subwoofer Amplifier,2,2–8 ohm,1500,3000,Class D,20Hz–20kHz,true,true,20–200 Hz,true,true,XLR,Speakon,true,Fan,94,483,330,7.0,DSP subwoofer systems,Integrated DSP,homeT,2026-01-24 09:36:18.286211+00,153400
5,Behringer,NX6000D,Subwoofer Amplifier,2,2–8 ohm,3000,6000,Class D,20Hz–20kHz,true,true,20–200 Hz,true,true,XLR,Speakon,true,Fan,94,483,330,7.0,Extreme DIY subs,Massive power,homeT,2026-01-24 09:36:18.286211+00,182000
6,Hypex,FA502,Subwoofer Amplifier,2,4–8 ohm,500,1000,Class D,10Hz–20kHz,true,true,20–300 Hz,true,true,RCA / XLR,Speaker Out,false,Passive,120,200,250,4.5,Active sub builds,DSP plate amp,homeT,2026-01-24 09:36:18.286211+00,266370
7,Hypex,FA252,Subwoofer Amplifier,2,4–8 ohm,250,500,Class D,10Hz–20kHz,true,true,20–300 Hz,true,true,RCA / XLR,Speaker Out,false,Passive,120,200,250,4.0,Compact sub builds,DSP control,homeT,2026-01-24 09:36:18.286211+00,216900
8,QSC,GXD 8,Subwoofer Amplifier,2,4–8 ohm,800,1600,Class D,20Hz–20kHz,true,false,30–200 Hz,false,true,XLR,Speakon,true,Fan,89,483,330,12.7,Cinema bass,Professional reliability,homeT,2026-01-24 09:36:18.286211+00,385000
9,Yamaha,PX3,Subwoofer Amplifier,2,4–8 ohm,300,600,Class D,20Hz–20kHz,true,false,30–200 Hz,true,true,XLR,Speakon,true,Fan,89,483,367,6.9,Home theater subs,Clean power,homeT,2026-01-24 09:36:18.286211+00,971430
10,Yamaha,PX5,Subwoofer Amplifier,2,4–8 ohm,500,1000,Class D,20Hz–20kHz,true,false,30–200 Hz,true,true,XLR,Speakon,true,Fan,89,483,367,7.9,Multi sub systems,More headroom,homeT,2026-01-24 09:36:18.286211+00,1130181
11,Powersoft,Mezzo 604,Subwoofer Amplifier,4,4–8 ohm,600,1200,Class D,20Hz–20kHz,true,false,30–200 Hz,true,true,XLR,Speaker Out,true,Fan,44,483,260,6.5,Distributed bass,Compact rack amp,homeT,2026-01-24 09:36:18.286211+00,544000
12,Powersoft,Duecanali 804,Subwoofer Amplifier,2,2–8 ohm,800,1600,Class D,20Hz–20kHz,true,false,30–200 Hz,true,true,XLR,Speaker Out,true,Fan,88,483,350,12.0,High-end sub systems,Audiophile-grade power,homeT,2026-01-24 09:36:18.286211+00,2228072
13,Lab Gruppen,IPX 1200,Subwoofer Amplifier,2,4–8 ohm,600,1200,Class D,20Hz–20kHz,true,false,30–200 Hz,true,true,XLR,Speakon,true,Fan,89,483,325,7.5,Cinema bass amps,Touring grade,homeT,2026-01-24 09:36:18.286211+00,290000
14,Lab Gruppen,PLM 5K44,Subwoofer Amplifier,4,4–8 ohm,1250,2500,Class D,20Hz–20kHz,true,false,30–200 Hz,true,true,XLR,Speakon,true,Fan,88,483,450,16.0,Large theater bass,DSP powerhouse,homeT,2026-01-24 09:36:18.286211+00,2200000
15,NAD,CI 8-150 DSP,Subwoofer Amplifier,8,4–8 ohm,150,300,Class D,20Hz–20kHz,true,false,30–200 Hz,true,true,RCA / XLR,Speaker Out,true,Fan,88,483,305,11.5,Multi-zone subs,Hi-fi oriented,homeT,2026-01-24 09:36:18.286211+00,1500000
16,miniDSP,PWR-ICE125,Subwoofer Amplifier,1,4–8 ohm,125,250,Class D,10Hz–20kHz,true,true,20–200 Hz,true,true,RCA,Speaker Out,false,Passive,120,200,220,3.5,DIY active subs,Compact DSP amp,homeT,2026-01-24 09:36:18.286211+00,170987
17,miniDSP,PWR-ICE250,Subwoofer Amplifier,1,4–8 ohm,250,500,Class D,10Hz–20kHz,true,true,20–200 Hz,true,true,RCA,Speaker Out,false,Passive,120,200,220,4.0,DIY high power sub,More headroom,homeT,2026-01-24 09:36:18.286211+00,239389
18,Dayton Audio,SPA1000,Subwoofer Amplifier,1,4 ohm,1000,2000,Class D,15Hz–200Hz,true,true,20–200 Hz,true,true,RCA,Speaker Out,false,Fan,180,430,430,13.0,High power plate amp,Serious DIY bass,homeT,2026-01-24 09:36:18.286211+00,302535
19,Dayton Audio,SPA500DSP,Subwoofer Amplifier,1,4 ohm,500,1000,Class D,18Hz–200Hz,true,true,20–200 Hz,true,true,RCA,Speaker Out,false,Fan,180,430,430,11.0,DSP plate amp,Advanced control,homeT,2026-01-24 09:36:18.286211+00,198510