ID,manufacturer,Model,series,bass_type,strings,scale_length,body_material,neck_material,fretboard_material,frets,pickups,electronics,bridge,finish,skill_level,genre_recommended,country_of_origin,release_year,notes,category
1,Ibanez,GSRM20B WNF,GSR,Electric Bass,4,"34""",Poplar,Maple,Jatoba,22,PJ,Passive,B10,Solid,Beginner,"Rock, Pop, Metal",Indonesia,,Megbízható belépő szintű basszusgitár,instrument
2,Ibanez,GSR180 LBF,GSR,Electric Bass,4,"34""",Poplar,Maple,Jatoba,22,PJ,Passive,B10,Solid,Beginner,"Rock, Pop, Metal",Indonesia,,Megbízható belépő szintű basszusgitár,instrument
3,Jackson JS Series,Concert Bass Minion JS1X Satin Black,JS Series,Electric Bass,4,"30""",Poplar,Maple,Amaranth,22,PJ,Passive,Hardtail,Satin Black,Beginner,"Rock, Metal",China,,"Rövid menzúrás, utazó basszus",instrument
4,Jackson JS2,Spectra Snow White,JS Series,Electric Bass,4,"34""",Poplar,Maple,Amaranth,24,HH,Active,HiMass,Gloss,Intermediate,"Rock, Metal",China,,"Modern hangzás, aktív elektronika",instrument
5,Ibanez,GSR200 TR,GSR,Electric Bass,4,"34""",Poplar,Maple,Jatoba,22,PJ,Passive,B10,Solid,Beginner,"Rock, Pop, Metal",Indonesia,,Megbízható belépő szintű basszusgitár,instrument
6,Ibanez,GSR280QA TMS,GSR,Electric Bass,4,"34""",Poplar,Maple,Jatoba,22,PJ,Passive,B10,Solid,Beginner,"Rock, Pop, Metal",Indonesia,,Megbízható belépő szintű basszusgitár,instrument
7,LTD,B-15KIT BLKS,B Series,Electric Bass,4,"34""",Basswood,Maple,Engineered Wood,24,PJ,Passive,Standard,Black Satin,Beginner,"Rock, Metal",China,,"Kezdő szett, erősítővel",instrument
8,Ibanez,GSR205B WK,GSR,Electric Bass,4,"34""",Poplar,Maple,Jatoba,22,PJ,Passive,B10,Solid,Beginner,"Rock, Pop, Metal",Indonesia,,Megbízható belépő szintű basszusgitár,instrument
9,Jackson JS Series,Spectra Bass JS3V Walnut Stain,JS Series,Electric Bass,4,"34""",Poplar,Maple,Amaranth,24,HH,Active,HiMass,Gloss,Intermediate,"Rock, Metal",China,,"Modern hangzás, aktív elektronika",instrument
10,Ibanez,SR305EB WK,SR,Electric Bass,4,"34""",Nyatoh,Maple/Walnut,Jatoba,24,HH,Active,Accu-cast B120,Matte,Intermediate,"Rock, Metal, Fusion",Indonesia,,"Vékony nyak, aktív elektronika",instrument
11,Ibanez,SR305E PW,SR,Electric Bass,4,"34""",Nyatoh,Maple/Walnut,Jatoba,24,HH,Active,Accu-cast B120,Matte,Intermediate,"Rock, Metal, Fusion",Indonesia,,"Vékony nyak, aktív elektronika",instrument