id,manufacturer,model,generation,series,interface,inputs_total,outputs_total,mic_inputs,line_inputs,instrument_inputs,headphone_outputs,max_sample_rate,bit_depth,phantom_power,air_mode,dsp,latency_ms,midi_in,midi_out,adat_inputs,adat_outputs,rack_mountable,bus_powered,dimensions,weight_kg,compatible_os,release_year,notes,created_at,category
1,Focusrite,Scarlett Solo,4th Gen,Scarlett,USB,2,2,1,,1,1,192000,24,true,true,false,2.00,false,false,,,false,true,,,"Windows, macOS",2023,Belépő szintű audio interfész,2025-12-15 11:20:02.872531,speakerS
2,Focusrite,Scarlett 2i2,4th Gen,Scarlett,USB,4,2,2,,2,1,192000,24,true,true,false,2.00,false,false,,,false,true,,,"Windows, macOS",2023,Otthoni stúdiók kedvence,2025-12-15 11:20:02.872531,speakerS
3,Focusrite,Scarlett 4i4,4th Gen,Scarlett,USB,4,4,2,,2,2,192000,24,true,true,false,2.00,true,true,,,false,true,,,"Windows, macOS",2023,MIDI + több kimenet,2025-12-15 11:20:02.872531,speakerS
4,Focusrite,Scarlett 8i6,4th Gen,Scarlett,USB,8,6,2,,2,2,192000,24,true,true,false,2.00,true,true,,,false,true,,,"Windows, macOS",2023,"Több bemenet, kompakt méret",2025-12-15 11:20:02.872531,speakerS
5,Focusrite,Scarlett 18i16,4th Gen,Scarlett,USB,18,16,8,,2,2,192000,24,true,false,false,2.50,true,true,,,true,false,,,"Windows, macOS",2023,Rack audio interfész,2025-12-15 11:20:02.872531,speakerS
6,Focusrite,Scarlett Solo,3rd Gen,Scarlett,USB,2,2,1,,1,1,192000,24,true,true,false,2.50,false,false,,,false,true,,,"Windows, macOS",2019,Belépő szint,2025-12-15 11:20:02.872531,speakerS
7,Focusrite,Scarlett 2i2,3rd Gen,Scarlett,USB,4,2,2,,2,1,192000,24,true,true,false,2.50,false,false,,,false,true,,,"Windows, macOS",2019,Legnépszerűbb modell,2025-12-15 11:20:02.872531,speakerS
8,Focusrite,Scarlett 4i4,3rd Gen,Scarlett,USB,4,4,2,,2,2,192000,24,true,false,false,2.50,true,true,,,false,true,,,"Windows, macOS",2019,MIDI támogatás,2025-12-15 11:20:02.872531,speakerS
9,Focusrite,Scarlett 8i6,3rd Gen,Scarlett,USB,8,6,2,,2,2,192000,24,true,false,false,2.50,true,true,,,false,true,,,"Windows, macOS",2019,Haladó felhasználóknak,2025-12-15 11:20:02.872531,speakerS
10,Focusrite,Scarlett 18i8,3rd Gen,Scarlett,USB,18,8,4,,2,2,192000,24,true,false,false,2.50,true,true,,,true,false,,,"Windows, macOS",2019,Rack kivitel,2025-12-15 11:20:02.872531,speakerS
11,Focusrite,Scarlett 18i20,3rd Gen,Scarlett,USB,18,20,8,,2,2,192000,24,true,false,false,2.50,true,true,,,true,false,,,"Windows, macOS",2019,Nagy stúdiók,2025-12-15 11:20:02.872531,speakerS
12,Focusrite,Clarett+ 2Pre,,Clarett+,USB,10,4,2,,2,1,192000,24,true,false,true,1.50,true,true,,,false,false,,,"Windows, macOS",2021,Professional audio interfész,2025-12-15 11:20:02.872531,speakerS
13,Focusrite,Clarett+ 4Pre,,Clarett+,USB,18,8,4,,2,2,192000,24,true,false,true,1.50,true,true,,,true,false,,,"Windows, macOS",2021,Rack audio interfész,2025-12-15 11:20:02.872531,speakerS
14,Focusrite,Clarett+ 8Pre,,Clarett+,USB,18,20,8,,2,2,192000,24,true,false,true,1.50,true,true,,,true,false,,,"Windows, macOS",2021,High-end rack interfész,2025-12-15 11:20:02.872531,speakerS
15,Focusrite,Scarlett Solo,4th Gen,Scarlett,USB,2,2,1,0,1,1,192000,24,true,true,false,2.50,false,false,false,false,false,true,143 x 95 x 43 mm,0.57,"Windows, macOS",2023,"Belépő szintű Scarlett, egy mikrofon és egy hangszer bemenet",2025-12-17 13:48:12.353468,speakerS
16,Focusrite,Scarlett 2i2,4th Gen,Scarlett,USB,2,2,2,0,2,1,192000,24,true,true,false,2.30,false,false,false,false,false,true,180 x 100 x 45 mm,0.60,"Windows, macOS",2023,"Két mikrofon/hangszer bemenet, stúdió alap",2025-12-17 13:48:12.353468,speakerS
17,Focusrite,Scarlett 4i4,4th Gen,Scarlett,USB,4,4,2,2,2,1,192000,24,true,true,false,2.10,true,true,false,false,false,false,180 x 100 x 45 mm,0.62,"Windows, macOS",2023,"MIDI I/O, több kimenet",2025-12-17 13:48:12.353468,speakerS
18,Behringer,UM2 U-Phoria,,U-Phoria,USB,2,2,1,0,1,1,48000,16,true,false,false,5.00,false,false,false,false,false,true,127 x 110 x 46 mm,0.30,"Windows, macOS",2015,Olcsó alap USB hangkártya,2025-12-17 13:48:12.353468,speakerS
19,M-Audio,AIR 192|4,,AIR,USB,2,4,1,1,1,1,192000,24,true,false,false,2.60,false,false,false,false,false,true,198 x 152 x 71 mm,0.50,"Windows, macOS",2019,Gyors USB interfész gitárhoz és mikrofonhoz,2025-12-17 13:48:12.353468,speakerS
20,M-Audio,AIR 192|14,,AIR,USB,8,4,4,4,2,2,192000,24,true,false,false,2.40,true,true,true,true,true,false,483 x 44 x 213 mm,3.60,"Windows, macOS",2019,Rackes stúdió interfész ADAT-tal,2025-12-17 13:48:12.353468,speakerS
21,Presonus,Quantum HD2,,Quantum,USB,2,2,2,0,0,1,192000,24,true,false,true,1.00,false,false,false,false,false,false,229 x 178 x 44 mm,1.50,"Windows, macOS",2022,"Ultra alacsony latency, DSP",2025-12-17 13:48:12.353468,speakerS
22,Presonus,Quantum ES4,,Quantum,USB,4,4,4,0,0,2,192000,24,true,false,true,1.00,true,true,true,true,true,false,483 x 44 x 213 mm,3.90,"Windows, macOS",2023,Professzionális rack hangkártya ADAT-tal,2025-12-17 13:48:12.353468,speakerS
23,Zoom,U-22,U-Series,U-Series,USB 2.0,2,2,1,,1,1,96,24,true,,false,5.50,false,false,,,,true,160 × 120 × 47 mm,0.61,"Windows, macOS, iOS",2015,"XLR mic input with phantom power, Hi-Z instrument input, direct monitoring, portable USB interface",2025-12-27 20:31:42.568898,soundcard